,userId,movieId,rating,timestamp
4885,31,62,4.0,850466616
13723,89,33004,3.0,1520408535
16281,105,1247,4.0,1447579678
26395,182,1831,3.5,1055150801
4179,27,3451,5.0,965149512
1222,10,82499,2.0,1455398390
20157,132,5349,3.0,1157921227
52861,346,7937,3.0,1172692108
79417,493,6,4.0,1001562846
51804,334,69122,4.0,1267044000
93438,599,2501,2.5,1498515345
65189,417,79357,5.0,1529284933
59715,387,3238,1.5,1203301123
12987,83,1348,3.0,1333842775
36996,249,67695,3.0,1356550231
100430,610,74750,3.5,1493848434
18471,117,596,4.0,844163454
10424,68,333,4.0,1158535093
88918,573,54503,5.0,1248839984
6757,45,3243,2.0,950740254
28625,199,698,1.0,944513522
32076,220,541,2.0,1230061795
31793,219,4022,3.5,1194827019
80456,509,2161,3.0,1436027395
18575,119,4370,3.5,1435944431
19564,125,161634,2.5,1474414524
70221,448,110297,3.0,1422814063
71006,453,2683,5.0,1005967086
39845,274,3972,3.5,1171827551
99630,610,1255,4.5,1495959059
44209,294,2094,3.0,966634189
10272,66,6377,4.5,1093747322
33895,231,63082,5.0,1433089546
499,4,4166,3.0,986848700
54533,358,58998,1.0,1339546397
91912,596,4995,3.0,1535708291
64614,414,52458,3.0,1190571083
61613,408,4649,3.5,1468316736
61890,410,1172,4.0,990909672
26996,182,6564,0.5,1063646207
86889,561,6874,4.5,1491092193
72293,466,3717,3.5,1439915398
75714,477,3213,4.5,1200945707
89310,579,3299,4.0,966069287
32075,220,480,5.0,1230055651
24148,167,3114,3.0,1154722066
76113,479,2110,2.0,1039362916
61672,408,79592,4.0,1468253547
50265,325,1211,4.0,1039397072
5988,42,924,5.0,996216038
16736,105,86882,3.0,1446773459
49107,318,1544,3.5,1256504676
72300,466,4367,4.0,1439915469
10390,68,150,3.0,1158531364
65260,418,30793,2.5,1461868147
23914,166,1258,4.0,1189038553
3405,21,8946,3.0,1418063030
15379,100,1674,3.0,1100184098
15887,103,80463,4.0,1431969220
93271,599,1991,2.0,1498510435
16107,104,5380,4.0,1101152684
12639,80,53953,3.5,1377391519
87670,564,129354,3.5,1478454813
37424,250,783,3.5,1121217510
22725,156,529,4.0,1106855407
69884,448,79879,3.0,1345980025
32507,221,5382,3.0,1111177363
8264,57,1468,1.0,965797815
52612,344,3160,3.0,1420495433
96999,603,4436,3.0,1000194455
14046,89,167854,4.5,1520409087
25743,177,89939,3.0,1435720314
67061,433,296,5.0,1506823837
62247,413,1207,5.0,1484439771
