,actors,country,director,req_imdbid,year
0,"Tom Hanks, Tim Allen, Don Rickles, Jim Varney",USA,John Lasseter,tt0114709,1995
1,"Robin Williams, Jonathan Hyde, Kirsten Dunst, Bradley Pierce",USA,Joe Johnston,tt0113497,1995
2,"Walter Matthau, Jack Lemmon, Sophia Loren, Ann-Margret",USA,Howard Deutch,tt0113228,1995
3,"Whitney Houston, Angela Bassett, Loretta Devine, Lela Rochon",USA,Forest Whitaker,tt0114885,1995
4,"Steve Martin, Diane Keaton, Martin Short, Kimberly Williams-Paisley",USA,Charles Shyer,tt0113041,1995
5,"Al Pacino, Robert De Niro, Val Kilmer, Jon Voight",USA,Michael Mann,tt0113277,1995
6,"Harrison Ford, Julia Ormond, Greg Kinnear, Nancy Marchand","Germany, USA",Sydney Pollack,tt0114319,1995
7,"Jonathan Taylor Thomas, Brad Renfro, Eric Schweig, Charles Rocket",USA,Peter Hewitt,tt0112302,1995
8,"Jean-Claude Van Damme, Powers Boothe, Raymond J. Barry, Whittni Wright",USA,Peter Hyams,tt0114576,1995
9,"Pierce Brosnan, Sean Bean, Izabella Scorupco, Famke Janssen","UK, USA",Martin Campbell,tt0113189,1995
10,"Michael Douglas, Annette Bening, Martin Sheen, Michael J. Fox",USA,Rob Reiner,tt0112346,1995
11,"Leslie Nielsen, Peter MacNicol, Steven Weber, Amy Yasbeck","France, USA",Mel Brooks,tt0112896,1995
12,"Kevin Bacon, Bob Hoskins, Bridget Fonda, Jim Cummings",USA,Simon Wells,tt0112453,1995
13,"Anthony Hopkins, Joan Allen, Powers Boothe, Ed Harris",USA,Oliver Stone,tt0113987,1995
14,"Geena Davis, Matthew Modine, Frank Langella, Maury Chaykin","France, Italy, Germany, USA",Renny Harlin,tt0112760,1995
15,"Robert De Niro, Sharon Stone, Joe Pesci, James Woods","USA, France",Martin Scorsese,tt0112641,1995
16,"James Fleet, Tom Wilkinson, Harriet Walter, Kate Winslet","USA, UK",Ang Lee,tt0114388,1995
17,"Sammi Davis, Amanda De Cadenet, Valeria Golino, Madonna",USA,"Allison Anders, Alexandre Rockwell, Robert Rodriguez, Quentin Tarantino",tt0113101,1995
18,"Jim Carrey, Ian McNeice, Simon Callow, Maynard Eziashi",USA,Steve Oedekerk,tt0112281,1995
19,"Wesley Snipes, Woody Harrelson, Jennifer Lopez, Robert Blake",USA,Joseph Ruben,tt0113845,1995
20,"John Travolta, Gene Hackman, Rene Russo, Danny DeVito",USA,Barry Sonnenfeld,tt0113161,1995
21,"Sigourney Weaver, Holly Hunter, Dermot Mulroney, William McNamara",USA,Jon Amiel,tt0112722,1995
22,"Sylvester Stallone, Antonio Banderas, Julianne Moore, Anatoli Davydov","France, USA",Richard Donner,tt0112401,1995
23,"Mary Steenburgen, Sean Patrick Flanery, Lance Henriksen, Jeff Goldblum",USA,Victor Salva,tt0114168,1995
24,"Nicolas Cage, Elisabeth Shue, Julian Sands, Richard Lewis","France, UK, USA",Mike Figgis,tt0113627,1995
25,"Laurence Fishburne, Irène Jacob, Kenneth Branagh, Nathaniel Parker","USA, UK",Oliver Parker,tt0114057,1995
26,"Christina Ricci, Rosie O'Donnell, Thora Birch, Melanie Griffith",USA,Lesli Linka Glatter,tt0114011,1995
27,"Amanda Root, Ciarán Hinds, Susan Fleetwood, Corin Redgrave","UK, USA, France",Roger Michell,tt0114117,1995
28,"Ron Perlman, Daniel Emilfork, Judith Vittet, Dominique Pinon","France, Germany, Spain, Belgium, USA","Marc Caro, Jean-Pierre Jeunet",tt0112682,1995
29,"Li Gong, Baotian Li, Xiaoxiao Wang, Xuejian Li","France, China",Yimou Zhang,tt0115012,1995
30,"Michelle Pfeiffer, George Dzundza, Courtney B. Vance, Robin Bartlett",USA,John N. Smith,tt0112792,1995
31,"Joseph Melito, Bruce Willis, Jon Seda, Michael Chance",USA,Terry Gilliam,tt0114746,1995
32,"Christine Cavanaugh, Miriam Margolyes, Danny Mann, Hugo Weaving","Australia, USA",Chris Noonan,tt0112431,1995
33,"Susan Sarandon, Sean Penn, Robert Prosky, Raymond J. Barry","UK, USA",Tim Robbins,tt0112818,1995
34,"Kirstie Alley, Steve Guttenberg, Mary-Kate Olsen, Ashley Olsen",USA,Andy Tennant,tt0113442,1995
35,"Alicia Silverstone, Stacey Dash, Brittany Murphy, Paul Rudd",USA,Amy Heckerling,tt0112697,1995
36,"James Earl Jones, Richard Harris, Vusi Kunene, Charles S. Dutton","South Africa, USA",Darrell Roodt,tt0112749,1995
37,"Christopher Bowen, Edward Jewesbury, Ian McKellen, Bill Paterson","UK, USA",Richard Loncraine,tt0114279,1995
38,"Larenz Tate, Keith David, Chris Tucker, Freddy Rodríguez",USA,"Albert Hughes, Allen Hughes",tt0112819,1995
39,"Robert Downey Jr., Sam Neill, David Thewlis, Polly Walker","USA, UK",Michael Hoffman,tt0114272,1995
40,"Christopher Lambert, Robin Shou, Linden Ashby, Cary-Hiroyuki Tagawa",USA,Paul W.S. Anderson,tt0113855,1995
41,"Nicole Kidman, Matt Dillon, Joaquin Phoenix, Casey Affleck","USA, UK, Canada",Gus Van Sant,tt0114681,1995
42,"Kaelynn Craddick, Sara Craddick, Kate Capshaw, Adam Baldwin",USA,Jocelyn Moorhouse,tt0113347,1995
43,"Morgan Freeman, Andrew Kevin Walker, Daniel Zacapa, Brad Pitt",USA,David Fincher,tt0114369,1995
44,"Joe Baker, Christian Bale, Irene Bedard, Billy Connolly",USA,"Mike Gabriel, Eric Goldberg",tt0114148,1995
45,"Pascale Bussières, Rachael Crawford, Henry Czerny, David Fox",Canada,Patricia Rozema,tt0114916,1995
46,"Stephen Baldwin, Gabriel Byrne, Benicio Del Toro, Kevin Pollak","USA, Germany",Bryan Singer,tt0114814,1995
47,"Pamela Blair, Rene Ceballos, Elie Chaib, George De La Pena",USA,Woody Allen,tt0113819,1995
48,"Enrico Lo Verso, Michele Placido, Piro Milkani, Carmelo Di Mazzarelli","Italy, France, Switzerland, Austria",Gianni Amelio,tt0110299,1994
49,"Steve Guttenberg, Olivia d'Abo, Jay O. Sanders, John Terry",USA,Holly Goldberg Sloan,tt0112499,1995
50,"Jennifer Jason Leigh, Mare Winningham, Ted Levine, Max Perlich","USA, France",Ulu Grosbard,tt0113158,1995
51,"Holly Hunter, Robert Downey Jr., Anne Bancroft, Charles Durning",USA,Jodie Foster,tt0113321,1995
52,"Philippe Noiret, Massimo Troisi, Maria Grazia Cucinotta, Renato Scarpa","Italy, France, Belgium","Michael Radford, Massimo Troisi",tt0110877,1994
53,"Hal Scardino, Litefoot, Lindsay Crouse, Richard Jenkins",USA,Frank Oz,tt0113419,1995
54,"Sally Field, Ed Harris, Olivia Burnette, Alexandra Kyle",USA,John Schlesinger,tt0116260,1996
55,"Richard Dreyfuss, Glenne Headly, Jay Thomas, Olympia Dukakis",USA,Stephen Herek,tt0113862,1995
56,"Shawn Wayans, Marlon Wayans, Tracey Cherelle Jones, Chris Spencer",USA,Paris Barclay,tt0116126,1996
57,"Denis Leary, Sandra Bullock, Stephen Dillane, Yaphet Kotto",USA,Bill Bennett,tt0118002,1996
58,"William Atherton, Denise Dowse, Dara Tomanovich, Kevin West",USA,Jason Bloom,tt0115683,1996
59,"Patrick Bergin, Matt Frewer, Austin O'Brien, Ely Pouget",USA,Farhad Mann,tt0116839,1996
60,"Victoria Abril, Josiane Balasko, Alain Chabat, Ticky Holgado",France,Josiane Balasko,tt0113149,1995
61,"Ice Cube, Chris Tucker, Nia Long, Tommy 'Tiny' Lister",USA,F. Gary Gray,tt0113118,1995
62,"George Clooney, Quentin Tarantino, Harvey Keitel, Juliette Lewis","USA, Mexico",Robert Rodriguez,tt0116367,1996
63,"William Baldwin, Cindy Crawford, Steven Berkoff, Christopher McDonald",USA,Andrew Sipes,tt0113010,1995
64,"Josh Hamilton, Samuel Gould, Catherine Kellner, Jonathan Baumbach",USA,Noah Baumbach,tt0113537,1995
65,"Jean-Paul Belmondo, Michel Boujenah, Alessandra Martines, Salomé Lelouch",France,Claude Lelouch,tt0113828,1995
66,"Christian Slater, Mary Stuart Masterson, Pamela Adlon, Josh Brolin",USA,Michael Goldenberg,tt0115644,1996
67,"Rick Moranis, Tom Arnold, Julianne Phillips, Carol Kane",USA,Steve Miner,tt0115676,1996
68,"Peter Weller, Roy Dupuis, Jennifer Rubin, Andrew Lauer","Canada, USA, Japan, Australia",Christian Duguay,tt0114367,1995
69,"Nico, Tina Aumont, Christian Päffgen, Edith Boulogne","Germany, USA",Susanne Ofteringer,tt0113973,1995
70,"Jack Nicholson, David Morse, Anjelica Huston, Robin Wright",USA,Sean Penn,tt0112744,1995
71,"Demi Moore, Alec Baldwin, Joseph Gordon-Levitt, James Gandolfini",USA,Brian Gibson,tt0116731,1996
72,"Aida Mohammadkhani, Mohsen Kafili, Fereshteh Sadre Orafaiy, Anna Borkowska",Iran,Jafar Panahi,tt0112445,1995
73,"Andy Garcia, Christopher Lloyd, William Forsythe, Bill Nunn",USA,Gary Fleder,tt0114660,1995
74,"Willeke van Ammelrooy, Els Dottermans, Dora van der Groen, Veerle van Overloop","Netherlands, Belgium, UK, France",Marleen Gorris,tt0112379,1995
75,"Al Freeman Jr., Phylicia Rashad, Leon, Paula Kelly",USA,Tim Reid,tt0114039,1995
76,"Mark Rylance, Kristin Scott Thomas, Patsy Kensit, Jeremy Kemp","UK, USA",Philip Haas,tt0112365,1995
77,"Jeff Bridges, Caroline Goodall, John Savage, Scott Wolf","USA, UK",Ridley Scott,tt0118158,1996
78,"Jason Alexander, Faye Dunaway, Eric Lloyd, Rupert Everett",USA,Ken Kwapis,tt0116151,1996
79,"Chris Farley, David Spade, Tim Matheson, Christine Ebersole",USA,Penelope Spheeris,tt0115697,1996
80,"Johnny Depp, Courtney Chase, Charles S. Dutton, Christopher Walken",USA,John Badham,tt0113972,1995
